id;nombre;nombre_original;slug_peliculas;descripcion;region;Author;calificacion;descargas;idiomas;fecha_estreno;fecha_subida;trailer;disco;reparto;online;img1;img2;img3;img4;img5;enlacegd;enlacegd2;enlacegd3;enlacegd4;enlacegd5;enlacemg;enlacemg2;enlacemg3;enlacemg4;enlacemg5;comparte;director;enlacesub;anio;enlace_publi
83;Shaolin Soccer;Siu lam juk kau (Shaolin Soccer);shaolin-soccer;Sing es un discipulo del Shaolin cuya ambición es popularizar el kung fu en la sociedad moderna. Un día se encontrará con Fung, antiguo futbolista fracasado. Ambos tendrán la idea de formar un equipo que mezcle fútbol con artes marciales.;Hong Kong;Joiz;5;311;Español Latino;2001-07-12;2020-04-20;6FAaOwNnHTA;1.7 GB;Stephen Chow, Zhao Wei, Ng Man-Tat, Patrick Tse, Karen Mok, Cecilia Cheung, Wong Yat-Fei, Danny Chan, Lam Tze-Chung, Hui Li, Vincent Kok, Tenky Tin;1QOAxKF47Dky6JfbAvN5wYff8devmFC-g;Shaolin-Soccer-megafly.jpg;Shaolin-Soccer-megafly2.jpg;Shaolin-Soccer-megafly3.jpg;Shaolin-Soccer-megafly4.jpg;"";https://drive.google.com/uc?id=1QOAxKF47Dky6JfbAvN5wYff8devmFC-g&export=download;;;;;;;;;;;Stephen Chow;;2001;https://fc.lc/C5vD8
85;No soy un asesino en serie;I Am Not a Serial Killer;no-soy-un-asesino-en-serie;John Wayne Cleaver es un adolescente obsesionado con los asesinos en serie que, pese a sus tendencias sociópatas, hace todo lo posible para no convertirse en uno de ellos. Cuando el frío pueblo del Midwest americano donde vive se ve acechado por una ola de sangrientas muertes, John decide perseguir al culpable, bajo la amenaza de descubrir que él es mucho peor que su enemigo.;Irlanda;joiz;5;421;Español Latino;2016-03-13;2020-04-20;lBzUQsoIszM;1.6 GB;Max Records, Christopher Lloyd, Laura Fraser, Karl Geary, Bruce Bohne, Matt Roy, Morgan Rysso, Ryan J. Gilmer, William Todd-Jones, Tim Russell, Joel Thingvall, Lucy Lawton, Molly Gearen, Sally-Anne Hunt, Christina Baldwin, Dee Noah;0B_WV3avjgzW7RlVuS0lLU3NTQzQ;Im_not_a_serial_killer-megafly.jpg;Im_not_a_serial_killer-megafly2.jpg;Im_not_a_serial_killer-megafly3.jpg;Im_not_a_serial_killer-megafly4.jpg;"";https://drive.google.com/uc?id=0B_WV3avjgzW7RlVuS0lLU3NTQzQ&export=download;;;;;;;;;;;Billy O'Brien;;2016;https://fc.lc/6VF7X
86;Van Helsing: El cazador de monstruos;Van Helsing;van-helsing-el-cazador-de-monstruos;Siglo XIX. En los Cárpatos está la misteriosa y mítica región de Transilvania, donde habita el Mal que se hace presente cuando el sol se pone, y donde toman forma los monstruos que protagonizan las pesadillas de los hombres. Enviado por el Vaticano, Van Helsing inicia allí su lucha contra el conde Drácula y las criaturas bajo su control.;Estados Unidos;joiz;5;322;Español Latino;2004-05-05;2020-04-20;HvFQv-0p0B0;18.0 GB;Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham, Shuler Hensley, Elena Anaya, Will Kemp, Kevin J. O'Connor, Silvia Colloca, Alun Armstrong, Josie Maran, Tom Fisher, Samuel West, Dana Moravkova;1MRJzXsw5pmuhs4_R0Tk4C2YJ1MD3WbUW;Van-Helsing-megafly.jpg;Van-Helsing-megafly2.jpg;Van-Helsing-megafly3.jpg;Van-Helsing-megafly4.jpg;"";https://drive.google.com/uc?id=1MRJzXsw5pmuhs4_R0Tk4C2YJ1MD3WbUW&export=download;;;;;;;;;;;Stephen Sommers;;2004;https://fc.lc/LlnSTn
87;El cadáver de Anna Fritz;El cadáver de Anna Fritz;el-cadaver-de-anna-fritz;Anna Fritz, una joven y famosa actriz de cine, es hallada muerta en la suite de un hotel. Pau trabaja como celador en el hospital a donde han trasladado el cadáver. Es un chico tímido e introvertido que cada vez que entra en el depósito el cadáver de una chica atractiva, no puede evitar mirarla. Hace una foto a Anna Fritz y se la envía a dos amigos. Cuando éstos llegan a la morgue, se quedan fascinados por su gran belleza. Deciden entonces violarla impunemente, sin saber en qué clase de infierno se van a precipitar.;España;joiz;5;421;Español Castellano;2015-10-30;2020-04-20;mWhYBdz_qs;978 MB;Alba Ribas, Cristian Valencia, Bernat Saumell, Albert Carbó, Belén Fabra, Julia Lara, Montserrat Miralles;12TxHW_BNPRuaLi5UpZobWuqpEatFTaYlOw;El-cadaver-de-anna-fritz-megafly.jpg;El-cadaver-de-anna-fritz-megafly2.jpg;El-cadaver-de-anna-fritz-megafly3.jpg;El-cadaver-de-anna-fritz-megafly4.png;"";https://drive.google.com/uc?id=12TxHW_BNPRuaLi5UpZobWuqpEatFTaYlOw&export=download;https://drive.google.com/uc?id=1VzWXPAidhE8yun_cBFQFl_G3JGFHnxi6&export=download;;;;;;;;;;Hèctor Hernández Vicens;;2015;https://fc.lc/iVtJ31Q
88;Rapidos y furiosos 7;Furious 7 (Fast & Furious 7);rapidos-y-furiosos-7;Ha pasado un año desde que el equipo de Dominic Torreto y Brian pudiera regresar finalmente a Estados Unidos, tras ser indultados. Desean adaptarse a una vida en la legalidad, pero el entorno ya no es el mismo. Dom intenta acercarse a Letty, y Brian lucha para acostumbrarse a la vida en una urbanización con Mia y su hijo. Ninguno de ellos imagina que un frío asesino británico, entrenado para realizar operaciones secretas, se cruzará en sus vidas para convertirse en su mayor enemigo.;Estados Unidos;joiz;5;4233;Español Latino;2015-04-01;2020-04-20;4zmfMBZg66A;5.9 GB;Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez, Tyrese Gibson, Ludacris, Dwayne Johnson, Kurt Russell, Jordana Brewster, Djimon Hounsou, Tony Jaa, Elsa Pataky, Nathalie Emmanuel, Romeo Santos, Ronda Rousey, Chelsea Pereira, Iggy Azalea, Lucas Black, Brittney Alger, Janell Islas, Luke Evans;1n0McvfLkC_YkgPxYHmOIVyzb5MR3P9CW;Rápidos_Y_Furiosos_7_megafly.jpg;Rápidos_Y_Furiosos_7_megafly2.jpg;Rápidos_Y_Furiosos_7_megafly3.jpg;Rápidos_Y_Furiosos_7_megafly4.jpg;"";https://drive.google.com/uc?id=1n0McvfLkC_YkgPxYHmOIVyzb5MR3P9CW&export=download;https://drive.google.com/file/d/14A6RSANwv9AN-R0aPXb_B53fOJqdIydT/view;https://drive.google.com/file/d/1-_tV6LEYjeYsuyz-oa3GAhEAWhxrXjpy/view;;;;;;;;;James Wan;;2015;https://fc.lc/iRdsa
89;Liga de la Justicia;Justice League;liga-de-la-justicia;Motivado por la fe que había recuperado en la humanidad e inspirado por la acción altruista de Superman, Bruce Wayne recluta la ayuda de su nueva aliada, Diana Prince, para enfrentarse a un enemigo aún mayor. Juntos, Batman y Wonder Woman se mueven rápidamente para intentar encontrar y reclutar un equipo de metahumanos que combata esta nueva amenaza. El problema es que a pesar de la formación de esta liga de héroes sin precedentes –Batman, Wonder Woman, Aquaman, Cyborg y Flash– puede que sea demasiado tarde para salvar el planeta de una amenaza de proporciones catastróficas.;Estados Unidos;joiz;5;5412;Español Latino;2017-11-15;2020-04-20;1c66wfYbNEs;1.7 GB;Ben Affleck, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Henry Cavill, Amy Adams, Ciarán Hinds, J.K. Simmons, Jeremy Irons, Connie Nielsen, Amber Heard, Diane Lane, Billy Crudup, Daniel Stisen, Jesse Eisenberg, Samantha Jo, Joe Morton, Holt McCallany, Gem Refoufi;1SJ4pRm9qijnOmAiH0ULtdEksnE0Lh3ik;liga-de-la-justicia-megafly.jpg;liga-de-la-justicia-megafly2.jpg;liga-de-la-justicia-megafly3.jpg;liga-de-la-justicia-megafly4.jpg;"";https://drive.google.com/uc?id=1SJ4pRm9qijnOmAiH0ULtdEksnE0Lh3ik&export=download;;;;;;;;;;;Zack Snyder;;2017;https://fc.lc/d7aZs
90;Olaf: Otra aventura congelada de Frozen (C);Olaf's Frozen Adventure (S);olaf-otra-aventura-congelada-de-frozen-c;"En ‘Frozen: Una aventura de Olaf’, el muñeco de nieve tratará de empaparse de las tradiciones familiares durante este periodo tan especial del año para organizar las mejores fiestas navideñas en el castillo. Al parecer, después de tanto tiempo fuera de casa, Elsa y Anna no están acostumbradas a las reuniones familiares, por lo que Olaf decide ir puerta por puerta empapándose de lo que hace el resto de las familias de Arandelle para implantar la tradición en su nuevo hogar. Cortometraje que acompañó en cines a '"Coco'", la película de Disney/Pixar.";Estados Unidos;joiz;5;3;Español Latino;2017-11-22;2020-04-20;-vupcsaZlL0;359 MB;Animacion;1QbsjnFmNcvlu351WaN-GhOoUi6gF7mLAiA;Olaf_Otra_aventura_congelada_de_Frozen_C-megafly.jpg;Olaf_Otra_aventura_congelada_de_Frozen_C-megafly2.jpg;Olaf_Otra_aventura_congelada_de_Frozen_C-megafly3.jpg;Olaf_Otra_aventura_congelada_de_Frozen_C-megafly4.jpg;"";https://drive.google.com/uc?id=1QbsjnFmNcvlu351WaN-GhOoUi6gF7mLAiA&export=download;;;;;;;;;;;Kevin Deters, Stevie Wermers;;2017;https://fc.lc/uDsaYl
117;Vamos a ganar!;Major Payne;vamos-a-ganar;El Mayor Payne ha sido instructor en los marines durante muchos años. Acostumbrado a fabricar máquinas de matar, él mismo se ha convertido en un salvaje. Dado de baja en el ejército, se convertirá en un duro instructor en una academia militar privada.;Estados Unidos;joiz;5;231;Español Latino;1995-03-24;2020-04-23;xBfsnqaGCWw;2.4 GB;Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Dean Lorey, Chris Owen;1F_qLldXLavTkNj4YOIM2iORjpsxeOEJ2;pelicula-Major-Payne-online-megafly.jpg;pelicula-Major-Payne-online-megafly2.jpg;pelicula-Major-Payne-online-megafly3.jpg;pelicula-Major-Payne-online-megafly4.jpg;"";https://drive.google.com/uc?id=1F_qLldXLavTkNj4YOIM2iORjpsxeOEJ2&export=download;;;;;;;;;;;Nick Castle;;1995;https://fc.lc/qr4re
91;Ouija: El origen del mal;Ouija: Origin of Evil;ouija-el-origen-del-mal;Cuenta la historia de una madre viuda y sus dos hijas, quienes añaden un nuevo truco para reforzar su estafador negocio de espiritismo, invitando involuntariamente al auténtico demonio a entrar en su casa. Cuando la hija pequeña, es poseída por este espíritu despiadado, la familia se tendrá que enfrentar a sus temores más impensables para poder salvarla y enviar al diablo de vuelta al otro lado.;Estados Unidos;joiz;5;3;Español Latino;2006-10-20;2020-04-20;88IfDfEo-cM;7.9 GB;Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas, Kate Siegel, Doug Jones, Lin Shaye, Alexis G. Zall, Sam Anderson, Ele Keats, Parker Mack, Lincoln Melcher, Eve Gordon, Chelsea Gonzalez, Gary Patrick Anderson;1CvwNlsDR-pF7pJw8GLUYbJp6vOvclvRu;Ouija_El_origen_del_mal-megafly.jpg;Ouija_El_origen_del_mal-megafly2.jpg;Ouija_El_origen_del_mal-megafly3.jpg;Ouija_El_origen_del_mal-megafly4.jpg;"";https://drive.google.com/uc?id=1CvwNlsDR-pF7pJw8GLUYbJp6vOvclvRu&export=download;;;;;;;;;;;Mike Flanagan;;2006;https://fc.lc/ihiLuQyk
92;Coco;Coco;coco;"Miguel es un joven con el sueño de convertirse en leyenda de la música a pesar de la prohibición de su familia. Su pasión le llevará a adentrarse en la '"Tierra de los Muertos'" para conocer su verdadero legado familiar.";Estados Unidos;joiz;5;1332;Español Latino;2017-10-27;2020-04-20;awzWdtCezDo;1.6 GB;"Miguel es un joven con el sueño de convertirse en leyenda de la música a pesar de la prohibición de su familia. Su pasión le llevará a adentrarse en la '"Tierra de los Muertos'" para conocer su verdadero legado familiar";18ifgsKvWArAsd1BTDF0BFbye03SL-vp9;coco-megafly.png;coco-megafly2.jpg;coco-megafly3.jpg;coco-megafly4.jpg;"";https://drive.google.com/uc?id=18ifgsKvWArAsd1BTDF0BFbye03SL-vp9&export=download;;;;;;;;;;;Lee Unkrich, Adrián Molina;;2017;https://fc.lc/8e5FBxke
122;La morgue;The Autopsy of Jane Doe;la-morgue;El dueño de una funeraria de una pequeña localidad y su hijo, que trabaja con él, reciben un día el cadáver de la víctima de un misterioso crimen: una bella joven que no tiene ninguna causa aparente de muerte. Ambos intentarán desvelar los intrigantes motivos del fallecimiento de la joven.;Reino Unido;joiz;5;861;Español Latino;2017-03-23;2020-04-23;lBxgCgvOCXM;3.0 GB;Emile Hirsch, Brian Cox, Ophelia Lovibond, Michael McElhatton, Olwen Catherine Kelly, Jane Perry, Parker Sawyers;100W6AonoRRK27BMHHkdVIlfF2I5uuvrX;Pelicula_La_Morgue_online_megafly.jpg;Pelicula_La_Morgue_online_megafly2.jpg;Pelicula_La_Morgue_online_megafly3.jpg;Pelicula_La_Morgue_online_megafly4.jpg;"";https://drive.google.com/uc?id=100W6AonoRRK27BMHHkdVIlfF2I5uuvrX&export=download;;;;;;;;;;;André Øvredal;;2017;https://fc.lc/kCrteif
