id;nombre;nombre_original;slug_peliculas;descripcion;region;Author;calificacion;descargas;idiomas;fecha_estreno;fecha_subida;trailer;disco;reparto;online;img1;img2;img3;img4;img5;enlacegd;enlacegd2;enlacegd3;enlacegd4;enlacegd5;enlacemg;enlacemg2;enlacemg3;enlacemg4;enlacemg5;comparte;director;enlacesub;anio;enlace_publi
93;Rapidos y Furiosos 6;Fast & Furious 6;rapidos-y-furiosos-6;"Desde que Dom (Vin Diesel) y Brian (Paul Walker) le robaron a un mafioso 100 millones de dólares, se encuentran en paradero desconocido; no pueden regresar a casa porque la ley los persigue. Entretanto, Hobbs (Dwayne Johnson) ha seguido la pista en varios países a una banda de letales conductores mercenarios, cuyo cerebro (Luke Evans) cuenta con la inestimable ayuda de la sexy Letty (Michelle Rodriguez), una vieja novia de Dom, a la que éste daba por muerta. La única forma de detenerlos es enfrentarse a ellos en las calles; así que Hobbs le pide a Dom que reúna a su equipo en Londres.";Estados Unidos;joiz;5;32;Español Latino;2013-05-17;2020-04-20;h21C_UlOryw;5.6 GB;Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster, Luke Evans, Gina Carano, Michelle Rodriguez, Elsa Pataky, Sung Kang, Gal Gadot, Ludacris, Tyrese Gibson, John Ortiz, Shea Whigham, David Ajala, Kim Kold, Thure Lindhardt, Joe Taslim, Rita Ora;1horWB2JQJwH9_3PE_UklvHXK3LBJX888;rapido-y-furioso-6-megafly.jpg;rapido-y-furioso-6-megafly2.jpg;rapido-y-furioso-6-megafly3.jpg;rapido-y-furioso-6-megafly4.jpg;"";https://drive.google.com/uc?id=1horWB2JQJwH9_3PE_UklvHXK3LBJX888&export=download;https://drive.google.com/file/d/1hLtjK__jwwXGQ0Q_6Sbo9MFL6az5tYo8/view;https://drive.google.com/file/d/1QOgykxzppS7BDkvO2IImIMFfYgKx0_W3/view;;;;;;;;;Justin Lin;;2013;https://fc.lc/z8PP
94;Rapidos y furiosos 4;Fast & Furious: Aún más rápido;rapidos-y-furiosos-4;El fugitivo Dom Toretto (Vin Diesel) y el detective Brian O’Conner (Paul Walker) vuelven a encontrarse en Los Ángeles, pero sus relaciones no mejoran. Sin embargo, obligados a enfrentarse a un enemigo común, no les queda más remedio que unir sus fuerzas si quieren vencerlo. Después del atraco a un convoy, los dos protagonistas averiguan que si quieren vengarse, deberán llegar al límite de sus posibilidades al volante.;Estados Unidos;joiz;5;341;Español Latino;2009-04-02;2020-04-20;mUXekPixdNo;4.7 GB;Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster, Sung Kang, John Ortiz, Laz Alonso, Gal Gadot, Tego Calderón, Don Omar, Mirtha Michelle, Greg Cipes, Liza Lapira, Jack Conley, Frank Miranda, Ron Yuan, Greg Collins;1m_jwcBHDPejzZf4WLfFPWOgINtY4vnnQ;rapidos-y-furiosos-4-megafly.jpg;rapidos-y-furiosos-4-megafly2.jpg;rapidos-y-furiosos-4-megafly3.jpg;rapidos-y-furiosos-4-megafly4.jpg;"";https://drive.google.com/uc?id=1m_jwcBHDPejzZf4WLfFPWOgINtY4vnnQ&export=download;https://drive.google.com/file/d/1H7JiD3cfr9xu2v0qOdZvkkHKvWe2zXJh/view;https://drive.google.com/file/d/1PyP9CAen38nh-TGIGB6vWf4Uh8FJay0H/view;;;;;;;;;Justin Lin;;2009;https://fc.lc/Ly3b2
95;La gran muralla;The Great Wall;la-gran-muralla;"China, siglo XV. Un mercenario inglés (Matt Damon) y otro español (Pedro Pascal) son testigos del misterio que rodea a la construcción de la Gran Muralla China; ambos descubrirán que no se construyó para mantener alejados a los mongoles, sino para algo más peligroso: la mítica muralla ha sido edificada para detener la llegada de monstruos devoradores de carne humana.";China;Joiz;5;341;Español Latino;2016-10-06;2020-04-21;bwAxwNPNW1U;7.0 GB;Matt Damon, Pedro Pascal, Willem Dafoe, Andy Lau, Jing Tian, Zhang Hanyu, Eddie Peng, Lu Han, Lin Gengxin, Ryan Zheng, Cheney Chen, Huang Xuan, Karry Wang, Vicky Yu, Liu Qiong, Pilou Asbæk;1sWNuAgrUQ_xIslKcdttGCxDoVkY0QuEo;la-gran-muralla-megafly.jpg;la-gran-muralla-megafly2.jpg;la-gran-muralla-megafly3.jpg;la-gran-muralla-megafly4.jpg;"";https://drive.google.com/uc?id=1sWNuAgrUQ_xIslKcdttGCxDoVkY0QuEo&export=download;;;;;;;;;;;Zhang Yimou;;2016;https://fc.lc/CFQWBBi
97;Good Morning, Vietnam;Good Morning, Vietnam;good-morning-vietnam;Vietnam. 1965. Un pinchadiscos de la radio, Adrian Cronauer, es enviado a Saigón para trabajar en la emisora del ejército norteamericano. En contraste con sus aburridos antecesores, Cronauer es pura dinamita: sus comentarios irreverentes, tacos, improperios y sus críticas al vicepresidente le hacen ganarse el aprecio de las tropas. Sin embargo, su superior, el teniente Hauk, no es de la misma opinión.;Estados Unidos;Joiz;5;4331;Español Latino;1988-01-15;2020-04-21;tGvQsroTI5w;3.9 GB;Robin Williams, Forest Whitaker, Bruno Kirby, Robert Wuhl, Noble Willingham, J.T. Walsh, Chintara Sukapatana, Juney Smith, Richard Portnow, Danny Aiello III, Richard Edson, James McIntire, Peter Mackenzie;1NnJVgWHwz2EOlUdGcoIE1R2lHKwT9eJe;good-morning-vietnam-megafly.jpg;good-morning-vietnam-megafly2.jpg;good-morning-vietnam-megafly3.jpg;good-morning-vietnam-megafly4.jpg;"";https://drive.google.com/uc?id=1NnJVgWHwz2EOlUdGcoIE1R2lHKwT9eJe&export=download;;;;;;;;;;;Barry Levinson;;1988;https://fc.lc/WpcOX
99;Countdown. La hora de tu muerte;Countdown;countdown-la-hora-de-tu-muerte;Quinn, una joven enfermera, descarga una aplicación para el móvil llamada 'Countdown', que puede predecir el momento exacto en el que una persona va a morir. En ese momento descubre que a ella sólo le quedan tres días de vida. Con el tiempo jugando en su contra y tras ser perseguida por una persona desconocida, tratará desesperadamente de burlar al destino antes de que se le agote el tiempo.;Estados Unidos;Joiz;5;312;Español Latino;2019-10-24;2020-04-21;k_-0DMlJisI;2.7 GB;Elizabeth Lail, Peter Facinelli, Anne Winters, Charlie McDermott, Talitha Bateman, Tom Segura, Tichina Arnold, Jordan Calloway, P.J. Byrne, Lana McKissack, John Bishop, Willow Hale, Ramsay Philips, Nathan Moore, Chuck Filipov, Mariano 'Big Dawg' Mendoza;1yBe9f8YQMYjTeM3F9L2EUzES5t7cBmjT;Countdown-La-hora-de-tu-muerte-megafly.jpg;Countdown-La-hora-de-tu-muerte-megafly2.jpg;Countdown-La-hora-de-tu-muerte-megafly3.jpg;Countdown-La-hora-de-tu-muerte-megafly4.jpg;"";https://drive.google.com/uc?id=1yBe9f8YQMYjTeM3F9L2EUzES5t7cBmjT&export=download;;;;;;;;;;;Justin Dec;;2019;https://fc.lc/FGpg
100;Avatar;Avatar;avatar;Año 2154. Jake Sully (Sam Worthington), un ex-marine condenado a vivir en una silla de ruedas, sigue siendo, a pesar de ello, un auténtico guerrero. Precisamente por ello ha sido designado para ir a Pandora, donde algunas empresas están extrayendo un mineral extraño que podría resolver la crisis energética de la Tierra. Para contrarrestar la toxicidad de la atmósfera de Pandora, se ha creado el programa Avatar, gracias al cual los seres humanos mantienen sus conciencias unidas a un avatar.;Estados Unidos;Joiz;5;3321;Español Latino;2009-12-17;2020-04-21;g5deg0HgCmY;5.1 GB;Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, Wes Studi, CCH Pounder, Laz Alonso, Dileep Rao, Terry Notary;1jt-H-hGwvr0XwTgCV3AmYDZ-eIPKwlYi;avatar-megafly-pelicula-online.jpg;avatar-megafly-pelicula-online2.jpg;avatar-megafly-pelicula-online3.jpg;avatar-megafly-pelicula-online4.jpg;"";https://drive.google.com/uc?id=1jt-H-hGwvr0XwTgCV3AmYDZ-eIPKwlYi&export=download;;;;;;;;;;;James Cameron;;2009;https://fc.lc/qnO3t
101;Réplicas;Réplicas;replicas;Un científico se obsesiona con la idea de traer de nuevo a su familia, que ha muerto en un trágico accidente de coche.;Reino Unido;Joiz;5;2221;Español Latino;2018-10-25;2020-04-21;ze_ANsckvS0;1.0 GB;Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz, Emily Alyn Lind, Emjay Anthony, Nyasha Hatendi, Aria Lyric Leabu, Amber Rivera, Amber Townsend, Sunshine Logroño, Jeffrey Holsman, Omar Cruz Soto, Jean Pierre Prats;1xxPuzsNmQ7GmNiTkK4z1CLLD5mS8vCt-;Replicas-peliculas-online-megafly.jpg;Replicas-peliculas-online-megafly2.jpg;Replicas-peliculas-online-megafly3.jpg;Replicas-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1xxPuzsNmQ7GmNiTkK4z1CLLD5mS8vCt-&export=download;https://drive.google.com/uc?id=1PxZVtQ7anpTqHBkU_P5I85LYNHxrxs8p&export=download;;;;;;;;;;Jeffrey Nachmanoff;;2018;https://fc.lc/Oxhbri8m
102;Guerra Mundial Z;World War Z;guerra-mundial-z;Cuando el mundo comienza a ser invadido por una legión de muertos vivientes, Gerry Lane (Brad Pitt), un experto investigador de las Naciones Unidas, intentará evitar el fin de la civilización en una carrera contra el tiempo y el destino. La destrucción a la que se ve sometida la raza humana lo lleva a recorrer el mundo entero buscando la solución para frenar esa horrible epidemia.;Estados Unidos;Joiz;5;44312;Español Latino;2013-06-27;2020-04-21;M0T0EPJIg7A;1.6 GB;Brad Pitt, Mireille Enos, Daniella Kertesz, David Morse, Matthew Fox, Eric West, James Badge Dale, David Andrews, Peter Capaldi, Fana Mokoena, Elyes Gabel, Pierfrancesco Favino, Moritz Bleibtreu, Ruth Negga, Michiel Huisman, Kingsley Ben-Adir, Sterling Jerins, Fabrizio Zacharee Guido, John Gordon Sinclair, Grégory Fitoussi, Jane Perry, Lucy Russell, Mark Holden, Tim Berrington, Konstantin Khabenskiy, Lee Nicholas Harris, Ann Ogbomo, Jonathan Howard, Mike Noble, Ernesto Cantu, Vicky Araico, Nick Bartlett, Ruari Cannon, Khalid Laith, Noa Bodner, Assaf Ben-Shimon, Yaniv Rokah, Shaul Azar, Maisam Masri, Renu Setna, Ori Pfeffer, Julia Levy-Boeken, Yousef Hayyan Jubeh, Josh Wingate, Troy Glasgow, Richard Thomson, Ewan Ross, Christian Wong, Nikola Djuricko, Elen Rhys, Lee Colley, Michael Jenn, Katalin Dombi, Tzafetaas, Maddox Jolie-Pitt;1KsrLvVGcEBGtAfh-z0IUirWwRLKUHScc;guerra-mundial-z-peliculas-online-megafly.jpg;guerra-mundial-z-peliculas-online-megafly2.jpg;guerra-mundial-z-peliculas-online-megafly3.jpg;guerra-mundial-z-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1KsrLvVGcEBGtAfh-z0IUirWwRLKUHScc&export=download;https://drive.google.com/uc?id=1KsrLvVGcEBGtAfh-z0IUirWwRLKUHScc&export=download;;;;;;;;;;Marc Forster;;2013;https://fc.lc/x66rF
103;Siempre a tu lado (Hachiko);Hachi: A Dog's Tale;siempre-a-tu-lado-hachiko;"Parker Wilson, un profesor universitario que da clases de música, recoge un día a un perro de origen japonés y raza Akita, al que encuentra abandonado en una estación. Como nadie lo reclama, se lo lleva a su casa. Parker va descubriendo entonces los entrañables lazos que pueden unir a una persona y a un animal. Remake de la película japonesa '"Hachiko monogatari'" (1987) dirigida por Seijirô Kôyama y basada en la historia real de un perro tan fiel a su dueño que iba todos los días a esperarlo a la estación. Actualmente, en esa estación, existe una estatua de bronce erigida en su honor.";Estados Unidos;Joiz;5;1123;Español Latino;2010-11-11;2020-04-21;pypFfRYMgvM;3.0 GB;Richard Gere, Joan Allen, Sarah Roemer, Jason Alexander, Cary-Hiroyuki Tagawa, Erick Avari, Davenia McFadden, Robert Capron, Kevin DeCoste, Bates Wilder, Robbie Sublett, Rob Degnan, Tora Hallstrom;14zWwLeQCP2CjxO8VTAaBgwmge3BGDGdR;Siempre-a-tu-lado-Hachiko-peliculas-online-megafly.jpg;Siempre-a-tu-lado-Hachiko-peliculas-online-megafly2.jpg;Siempre-a-tu-lado-Hachiko-peliculas-online-megafly3.jpg;Siempre-a-tu-lado-Hachiko-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=14zWwLeQCP2CjxO8VTAaBgwmge3BGDGdR&export=download;https://drive.google.com/file/d/1fIuYpFkfWa_utxU5EbsueSBmWvdfdXqq/view;https://drive.google.com/file/d/1vYv_o3UdHP5oCOZs3ZQqH7u8otnF22k-/view;;;;;;;;;Lasse Hallström;;2010;https://fc.lc/xll9QCiT
104;Underwater;Underwater;underwater;Una tripulación de seis integrantes quedan atrapados en una instalación submarina que se está inundando a gran velocidad como consecuencia de un sismo devastador. Su única oportunidad para sobrevivir es caminar a través del suelo marino hasta una lejana plataforma petrolífera abandonada. Además de los retos físicos que implica el viaje, descubren rápidamente que están siendo cazados por depredadores marinos míticos y monstruosos, dispuestos a matarlos.;Estados Unidos;Joiz;5;1123;Español Latino;2020-01-08;2020-04-21;70BReScP2gM;3.0 GB;Kristen Stewart, Vincent Cassel, T.J. Miller, Jessica Henwick, Mamoudou Athie, John Gallagher Jr., Gunner Wright;1OKrs_AOkCPC1C-rtVaV0PBtHkQ0YdvXK;underwater-peliculas-online-megafly.jpg;underwater-peliculas-online-megafly2.jpg;underwater-peliculas-online-megafly3.jpg;underwater-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1OKrs_AOkCPC1C-rtVaV0PBtHkQ0YdvXK&export=download;https://drive.google.com/file/d/1tyVUYBfh2NbYFiv53koyvgMDKe6UaN5G/view;https://drive.google.com/file/d/1RARl9Lct-WOduPgQ2x6lqONAlu8a5ckT/view;;;;;;;;;William Eubank;;2020;https://fc.lc/wpg5
106;Trolls 2 Gira Mundial;Trolls World Tour;trolls-2-gira-mundial;En una aventura que les llevará más allá de todo lo que habían conocido, Poppy y Branch descubren que su tribu de Trolls es solo una de las seis que existen, que el resto están repartidas en seis reinos y consagradas a seis tipos distintos de música: funk, country, tecno, clásica, pop y rock. La reina Bárbara, miembro de la realeza del hard rock, y su padre, el Rey Metal, quieren acabar con el resto de géneros musicales e imponer el reinado del rock. Con el destino del mundo en juego, Poppy y Branch, junto con el resto de la pandilla — Grandullón, Chanelle, Satén, Cooper y Guy Diamante—, visitarán los demás reinos para unir a los Trolls contra los planes de Barb de eclipsarlos a todos.;Estados Unidos;Joiz;5;12131;Español Latino;2020-03-11;2020-04-22;FLv2PxVzFAU;4.5 GB;Animacion;1mtnjFpMpfqUNjPZjbvbsQstSIJbxAPvu;trolls2-giramundial-peliculas-online-megafly.jpg;trolls2-giramundial-peliculas-online-megafly2.jpg;trolls2-giramundial-peliculas-online-megafly3.jpg;trolls2-giramundial-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1mtnjFpMpfqUNjPZjbvbsQstSIJbxAPvu&export=download;https://drive.google.com/file/d/1LlaZZ3EMSEBZYmMG6-v5vzhzIG987rro/view;https://drive.google.com/file/d/11R3rfF06TWOx7JAHyrTmQXfwl1vctuuV/view;;;;;;;;;Walt Dohrn, David P. Smith;;2020;https://fc.lc/cMyZrG
107;El señor de los anillos: La comunidad del anillo;The Lord of the Rings: The Fellowship of the Ring;el-senor-de-los-anillos-la-comunidad-del-anillo;En la Tierra Media, el Señor Oscuro Saurón ordenó a los Elfos que forjaran los Grandes Anillos de Poder. Tres para los reyes Elfos, siete para los Señores Enanos, y nueve para los Hombres Mortales. Pero Saurón también forjó, en secreto, el Anillo Único, que tiene el poder de esclavizar toda la Tierra Media. Con la ayuda de sus amigos y de valientes aliados, el joven hobbit Frodo emprende un peligroso viaje con la misión de destruir el Anillo Único. Pero el malvado Sauron ordena la persecución del grupo, compuesto por Frodo y sus leales amigos hobbits, un mago, un hombre, un elfo y un enano. La misión es casi suicida pero necesaria, pues si Sauron con su ejército de orcos lograra recuperar el Anillo, sería el final de la Tierra Media.;Nueva Zelanda;Joiz;5;22;Español Latino;2002-01-01;2020-04-22;3GJp6p_mgPo;4.0 GB;rto Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Sean Bean, John Rhys-Davies, Orlando Bloom, Dominic Monaghan, Billy Boyd, Cate Blanchett, Hugo Weaving, Liv Tyler, Ian Holm, Christopher Lee, Lawrence Makoare, Craig Parker, Andy Serkis, Marton Csokas;1bBZzuIvdH_6TAQAk2-CYwFnmuS6u0dap;El-señor-de-los-anillos-La-comunidad-del-anillo-peliculas-online-megafly.jpg;El-señor-de-los-anillos-La-comunidad-del-anillo-peliculas-online-megafly2.jpg;El-señor-de-los-anillos-La-comunidad-del-anillo-peliculas-online-megafly3.jpg;El-señor-de-los-anillos-La-comunidad-del-anillo-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1bBZzuIvdH_6TAQAk2-CYwFnmuS6u0dap&export=download;https://drive.google.com/file/d/1IX2CExkzpHjoxsIYp6OzpY4kHCCb3xPU/view;;;;;;;;;;Peter Jackson;;2002;https://fc.lc/qucKAbEp
108;El señor de los anillos: Las dos torres;The Lord of the Rings: The Two Towers;el-senor-de-los-anillos-las-dos-torres;Tras la disolución de la Compañía del Anillo, Frodo y su fiel amigo Sam se dirigen hacia Mordor para destruir el Anillo Único y acabar con el poder de Sauron, pero les sigue un siniestro personaje llamado Gollum. Mientras, y tras la dura batalla contra los orcos donde cayó Boromir, el hombre Aragorn, el elfo Legolas y el enano Gimli intentan rescatar a los medianos Merry y Pipin, secuestrados por los orcos de Mordor. Por su parte, Saurón y el traidor Sarumán continúan con sus planes en Mordor, a la espera de la guerra contra las razas libres de la Tierra Media.;Nueva Zelanda;Joiz;5;3321;Español Latino;2003-01-01;2020-04-22;yZLxtW7qq48;3.7 GB;Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Andy Serkis, John Rhys-Davies, Orlando Bloom, Bernard Hill, Miranda Otto, David Wenham, Dominic Monaghan, Billy Boyd, Christopher Lee, Liv Tyler, Karl Urban, Brad Dourif, Hugo Weaving, Cate Blanchett, Craig Parker, John Leigh, Sean Bean, John Noble;1hkAaIm25yRTi16-72cIGSKy271cjzonY;El-señor-de-los-anillos-Las-dos-torres-peliculas-online-megafly.jpg;El-señor-de-los-anillos-Las-dos-torres-peliculas-online-megafly2.jpg;El-señor-de-los-anillos-Las-dos-torres-peliculas-online-megafly3.jpg;El-señor-de-los-anillos-Las-dos-torres-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1hkAaIm25yRTi16-72cIGSKy271cjzonY&export=download;https://drive.google.com/file/d/1_i7RCnIdfsnPvvt0pAEwGYN1KFFFGDHe/view;;;;;;;;;;Peter Jackson;;2003;https://fc.lc/XL1EC6AT
109;El señor de los anillos: El retorno del rey;The Lord of the Rings: The Return of the King;el-senor-de-los-anillos-el-retorno-del-rey;Las fuerzas de Saruman han sido destruidas, y su fortaleza sitiada. Ha llegado el momento de decidir el destino de la Tierra Media, y, por primera vez, parece que hay una pequeña esperanza. El interés del señor oscuro Sauron se centra ahora en Gondor, el último reducto de los hombres, cuyo trono será reclamado por Aragorn. Sauron se dispone a lanzar un ataque decisivo contra Gondor. Mientras tanto, Frodo y Sam continuan su camino hacia Mordor, con la esperanza de llegar al Monte del Destino.;Nueva Zelanda;Joiz;5;4441;Español Latino;2003-12-19;2020-04-22;h-9RYiqyqjk;2.5 GB;Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Andy Serkis, John Rhys-Davies, Orlando Bloom, John Noble, Miranda Otto, David Wenham, Bernard Hill, Billy Boyd, Dominic Monaghan, Liv Tyler, Karl Urban, Christopher Lee, Brad Dourif, Ian Holm, Hugo Weaving, Cate Blanchett, Lawrence Makoare, Marton Csokas, Sean Bean;1tVdlWm6niHevkfv6qB2vRcDqwHYnFP8E;El-señor-de-los-anillos-El-retorno_del-rey-peliculas-online-megafly.jpg;El-señor-de-los-anillos-El-retorno_del-rey-peliculas-online-megafly2.jpg;El-señor-de-los-anillos-El-retorno_del-rey-peliculas-online-megafly3.jpg;El-señor-de-los-anillos-El-retorno_del-rey-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1tVdlWm6niHevkfv6qB2vRcDqwHYnFP8E&export=download;https://drive.google.com/file/d/16BaJ9hcZLDHxBNIyN9bQ-REZe7B_NaSB/view;;;;;;;;;;Peter Jackson;;2003;https://fc.lc/cOM1Bozd
110;Violet y Finch;All the Bright Places;violet-y-finch;Violet y Theodore son dos amigos cuyo encuentro cambia sus vidas para siempre. Mientras luchan por dejar atrás las cicatrices de su pasado, descubren que incluso los momentos más insignificantes pueden tener una importancia crucial en sus vidas;Estados Unidos;joiz;5;5;Español Latino;2020-02-28;2020-04-22;Kw1cMZ6vDFg;5.3 GB;Elle Fanning, Justice Smith, Alexandra Shipp, Keegan-Michael Key, Luke Wilson, Virginia Gardner, Nicole Forester, Felix Mallard, Lamar Johnson, Kelli O'Hara, Ming Wang, Paige Neuenschwander, Sofia Hasmik, Alex Haydon, Suzie Coker, Andrew Van Camp, Chris Osicki, Bobby Rodriguez, Sara Katrenich, Patrick Bentley, Todd C. Adelman, Dustin Albayrak, Brian Andrus, Jenny Boswell;1EhyyHLiqCSkE6TKzKAMcUFjjPodZrhdC;Violet-y-Finch-peliculas-online-megafly.jpg;Violet-y-Finch-peliculas-online-megafly2.jpg;Violet-y-Finch-peliculas-online-megafly3.jpg;Violet-y-Finch-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=10Q9Q07ANQ9d7JaKIgRmFbVPJrbrBkyM1&export=download;https://drive.google.com/file/d/1EhyyHLiqCSkE6TKzKAMcUFjjPodZrhdC/view;https://drive.google.com/file/d/1SuVhr0Bq2sbJXwQYFZIA_dxlG1Vcy7XV/view;;;;;;;;;Brett Haley;;2020;https://fc.lc/SKh8p
111;John Wick: Otro día para matar;John Wick: Sin control;john-wick-otro-dia-para-matar;En Nueva York, John Wick, un asesino a sueldo retirado, vuelve otra vez a la acción para vengarse de los gángsters que le quitaron todo;Estados Unidos;joiz;5;3321;Español Latino;2014-12-25;2020-04-22;C0BMx-qxsP4;792 MB;Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Moynahan, John Leguizamo, Ian McShane, Bridget Regan, Lance Reddick, Keith Jardine, Thomas Sadoski, Clarke Peters, Kevin Nash, Randall Duk Kim, David Patrick Kelly;1tmT0Ux7T4B8ZF6i71aAaRCC8NHSCcCnN-A;John-Wick-Sin_-control-peliculas-online-megafly.jpg;John-Wick-Sin_-control-peliculas-online-megafly2.jpg;John-Wick-Sin_-control-peliculas-online-megafly3.jpg;John-Wick-Sin_-control-peliculas-online-megafly4.jpg;"";https://drive.google.com/uc?id=1tmT0Ux7T4B8ZF6i71aAaRCC8NHSCcCnN-A&export=download;;;;;;;;;;;Chad Stahelski, David Leitch;;2014;https://fc.lc/Xima7TNz
112;John Wick 2: Un nuevo día para matar;John Wick: Chapter Two;john-wick-2-un-nuevo-dia-para-matar;El legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo.;Estados Unidos;joiz;5;22331;Español Latino;2017-02-09;2020-04-22;FdLPWz8WUv4;2.0 GB;Dan Laustsen Reparto Keanu Reeves, Riccardo Scamarcio, Common, Ian McShane, Ruby Rose, Peter Stormare, Alex Ziwak, Margaret Daly, Heidi Moneymaker, Laurence Fishburne, Lance Reddick, Claudia Gerini, John Leguizamo, Franco Nero, Bridget Moynahan;1iQprx1DQWaQSUhPuLiJvINLcbHWoJpFoWQ;John-Wick-2-Un-nuevo-día-para-matar-peliculas-megafly.jpg;John-Wick-2-Un-nuevo-día-para-matar-peliculas-megafly2.jpg;John-Wick-2-Un-nuevo-día-para-matar-peliculas-megafly3.jpg;John-Wick-2-Un-nuevo-día-para-matar-peliculas-megafly4.jpg;"";https://drive.google.com/uc?id=1iQprx1DQWaQSUhPuLiJvINLcbHWoJpFoWQ&export=download;;;;;;;;;;;Chad Stahelski;;2017;https://fc.lc/jbQD0OM5
114;Coffee & Kareem;Coffee & Kareem;coffee-kareem;Kareem Manning es una niña de 12 años que contrata a un criminal para asustar al nuevo novio de su madre, el oficial de policía James Coffee. Cuando las circunstancias se tuercen, ambos tendrán que colaborar para detener al mafioso más peligroso de la ciudad de Detroit.;Estados Unidos;joiz;5;778;Español Latino;2020-04-03;2020-04-22;Orn2X5bz2SY;2.4 GB;Ed Helms, Terrence Little Gardenhigh, Betty Gilpin, Taraji P. Henson, Jesse Hutch, David Alan Grier, Chance Hurstfield, Andrew Bachelor, Fraser Aitcheson, Samantha Cole, Garfield Wilson, RonReaco Lee, Serge Houde, Frankie Hopkins, Caitlin Mitchell-Markovitch, Donald Sales, Eduard Witzke, Adam Thomas, Kat Pasion, Ian Hawes, Ava Franklyn, Erik McNamee, Alexandra Aranibar;1HA5scP_r7dHkmZH9gJf-h70FlO-JtS-S;pelicula-Coffee--Kareem-online-megafly.jpg;pelicula-Coffee--Kareem-online-megafly2.jpg;pelicula-Coffee--Kareem-online-megafly3.jpg;pelicula-Coffee--Kareem-online-megafly4.jpg;"";https://drive.google.com/uc?id=1HA5scP_r7dHkmZH9gJf-h70FlO-JtS-S&export=download;https://drive.google.com/file/d/1QqPACqDtRp_HsjjrsNMdSdjt77NH8L_L/view;https://drive.google.com/file/d/167B9LFzV6db99oOvTPBsaZ6-8FZQyUn6/view;;;;;;;;;Michael Dowse;;2020;https://fc.lc/cIQE
115;Gretel & Hansel (2020);Gretel y Hansel;gretel-hansel-2020;En Baviera, a principios del siglo XIV, Gretel y Hansel, de 13 y 9 años respectivamente, viven en la miseria más absoluta. Su padre murió hace años y su madre está casada ahora con un hombre malvado. Debido a la falta de recursos y al creciente miedo que les produce su padrastro, Gretel y Hansel deciden huir del pueblo en busca de un futuro mejor. En el bosque se encuentran con varias personas que, de una forma u otra, intentan aprovecharse de ellos. Huyendo de unos y otros, conocen a un amigable cazador, que por fin les indica cual es el camino seguro a seguir. Así, los dos hermanos llegan a la cabaña de Holda, una amable mujer mayor que decide acogerlos. Lo que Gretel y Hansel no pueden imaginarse es que en esa cabaña tendrán que enfrentarse a sus peores miedos si quieren sobrevivir.;Estados Unidos;joiz;5;2134;Español Latino;2020-01-30;2020-04-22;ZblQLhKcZQ;3.8 GB;Sophia Lillis, Alice Krige, Samuel Leakey, Jessica De Gouw, Ian Kenny, Charles Babalola, Abdul Alshareef, Loreece Harrison, Beatrix Perkins, Manuel Pombo Angulo;1G--8RomGEVs7ujhDYwrH7983W2Bhzm3A;pelicula-Gretel--Hansel-2020-online-megafly.jpg;pelicula-Gretel--Hansel-2020-online-megafly2.jpg;pelicula-Gretel--Hansel-2020-online-megafly3.png;pelicula-Gretel--Hansel-2020-online-megafly4.jpg;"";https://drive.google.com/uc?id=1G--8RomGEVs7ujhDYwrH7983W2Bhzm3A&export=download;https://drive.google.com/file/d/1XfazbuJ4lUVgjK_pf2sjcFnXE1ajYGli/view;https://drive.google.com/file/d/1lMoq4I3fGGeSe6Dpoi9oyq_AK3wvHsuB/view;;;;;;;;;Oz Perkins;;2020;https://fc.lc/WSTRO6LM
